episode,timestamp,circuit,mode,success,wall_crash,timeout,checkpoints_passed,lap_time_s,episode_reward
30,2026-07-09 10:11:10,default,train,0,0,1,0,,-5.0161
30,2026-07-09 10:11:10,default,train,0,0,1,0,,-5.0172
30,2026-07-09 10:11:10,default,train,0,0,1,0,,-5.0029
30,2026-07-09 10:11:10,default,train,0,0,1,0,,-5.0029
30,2026-07-09 10:11:10,default,train,0,0,1,0,,-5.0272
30,2026-07-09 10:11:10,default,train,0,0,1,0,,-5.0272
30,2026-07-09 10:11:10,default,train,0,0,1,0,,-5.0131
30,2026-07-09 10:11:10,default,train,0,0,1,0,,-5.0225
31,2026-07-09 10:12:41,default,test,0,0,1,0,,-5.0151
31,2026-07-09 10:18:28,default,train,0,0,1,0,,-5.0224
31,2026-07-09 10:18:28,default,train,0,0,1,0,,-5.0174
31,2026-07-09 10:18:28,default,train,0,0,1,0,,-5.0227
31,2026-07-09 10:18:28,default,train,0,0,1,0,,-5.0173
31,2026-07-09 10:18:28,default,train,0,0,1,0,,-5.0161
31,2026-07-09 10:18:28,default,train,0,0,1,0,,-5.0172
31,2026-07-09 10:18:28,default,train,0,0,1,0,,-5.0131
31,2026-07-09 10:18:28,default,train,0,0,1,0,,-5.0172
31,2026-07-09 10:18:28,default,train,0,0,1,0,,-5.0029
32,2026-07-09 10:28:52,default,test,0,0,1,0,,-5.0154
32,2026-07-09 10:32:26,default,train,0,0,1,0,,-5.0269
32,2026-07-09 10:32:26,default,train,0,0,1,0,,-5.0029
32,2026-07-09 10:32:26,default,train,0,0,1,0,,-5.0272
32,2026-07-09 10:32:26,default,train,0,0,1,0,,-5.0029
32,2026-07-09 10:32:26,default,train,0,0,1,0,,-5.0029
32,2026-07-09 10:32:26,default,train,0,0,1,0,,-5.0270
32,2026-07-09 10:32:26,default,train,0,0,1,0,,-5.0029
32,2026-07-09 10:32:26,default,train,0,0,1,0,,-5.0029
32,2026-07-09 10:32:26,default,train,0,0,1,0,,-5.0231
33,2026-07-09 10:42:38,default,test,0,0,1,0,,-5.0154
33,2026-07-09 10:45:10,default,train,0,0,1,0,,-5.0231
33,2026-07-09 10:45:10,default,train,0,0,1,0,,-5.0231
33,2026-07-09 10:45:11,default,train,0,0,1,0,,-5.0029
33,2026-07-09 10:45:11,default,train,0,0,1,0,,-5.0161
33,2026-07-09 10:45:11,default,train,0,0,1,0,,-5.0162
33,2026-07-09 10:45:11,default,train,0,0,1,0,,-5.0272
33,2026-07-09 10:45:11,default,train,0,0,1,0,,-5.0227
33,2026-07-09 10:45:11,default,train,0,0,1,0,,-5.0029
33,2026-07-09 10:45:11,default,train,0,0,1,0,,-5.0130
34,2026-07-09 10:45:35,default,test,0,0,1,0,,-5.0154
34,2026-07-09 10:49:41,default,train,0,0,1,0,,-5.0029
34,2026-07-09 10:49:41,default,train,0,0,1,0,,-5.0271
34,2026-07-09 10:49:41,default,train,0,0,1,0,,-5.0172
34,2026-07-09 10:49:41,default,train,0,0,1,0,,-5.0229
34,2026-07-09 10:49:41,default,train,0,0,1,0,,-5.0225
34,2026-07-09 10:49:41,default,train,0,0,1,0,,-5.0132
34,2026-07-09 10:49:41,default,train,0,0,1,0,,-5.0131
34,2026-07-09 10:49:41,default,train,0,0,1,0,,-5.0162
34,2026-07-09 10:49:41,default,train,0,0,1,0,,-5.0131
35,2026-07-09 10:50:06,default,test,0,0,1,0,,-5.0154
35,2026-07-09 10:51:21,default,train,0,0,1,0,,-5.0131
35,2026-07-09 10:51:21,default,train,0,0,1,0,,-5.0231
35,2026-07-09 10:51:21,default,train,0,0,1,0,,-5.0132
35,2026-07-09 10:51:21,default,train,0,0,1,0,,-5.0173
35,2026-07-09 10:51:21,default,train,0,0,1,0,,-5.0132
35,2026-07-09 10:51:21,default,train,0,0,1,0,,-5.0132
35,2026-07-09 10:51:21,default,train,0,0,1,0,,-5.0172
35,2026-07-09 10:51:21,default,train,0,0,1,0,,-5.0161
35,2026-07-09 10:51:21,default,train,0,0,1,0,,-5.0029
